City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
166,Mongo,TD,2021-04-04 23:49:03,12.1844,18.693,85.37,15,62,6.64
167,Pochinki,RU,2021-04-04 23:52:37,54.6988,44.8668,27.21,94,21,4.16
168,Fairview,US,2021-04-04 23:52:00,40.8126,-73.999,62.6,23,40,3.44
169,Merauke,ID,2021-04-04 23:51:43,-8.4667,140.3333,82.33,78,94,2.75
170,Tarakan,ID,2021-04-04 23:52:37,3.3,117.6333,80.13,80,98,6.46
171,Seminole,US,2021-04-04 23:52:31,28.7086,-81.2081,69.8,46,20,10.36
172,Hokitika,NZ,2021-04-04 23:52:38,-42.7167,170.9667,64.78,82,47,9.64
173,Bathsheba,BB,2021-04-04 23:51:57,13.2167,-59.5167,78.8,65,40,12.66
174,Gamba,GA,2021-04-04 23:52:38,-2.65,10.0,77.97,92,100,5.55
175,Guilin,CN,2021-04-04 23:52:39,25.2819,110.2864,53.6,94,90,2.24
176,Taicheng,CN,2021-04-04 23:52:39,38.731,113.228,45.1,45,100,2.77
177,Vestmannaeyjar,IS,2021-04-04 23:52:39,63.4427,-20.2734,20.5,55,10,24.85
178,Bandarbeyla,SO,2021-04-04 23:52:40,9.4942,50.8122,76.78,82,66,1.99
179,Xining,CN,2021-04-04 23:52:40,36.6167,101.7667,35.49,55,15,1.74
180,Lorengau,PG,2021-04-04 23:52:41,-2.0226,147.2712,81.64,81,100,6.4
181,Saint-Pierre,RE,2021-04-04 23:52:42,-21.3393,55.4781,77.0,73,0,6.91
182,Altay,CN,2021-04-04 23:52:42,47.8667,88.1167,35.94,37,6,9.55
183,Svetlogorsk,BY,2021-04-04 23:52:42,52.6333,29.7333,31.55,81,27,6.22
184,Boyolangu,ID,2021-04-04 23:52:43,-8.1181,111.8935,76.08,89,100,1.01
185,Curaca,BR,2021-04-04 23:52:43,-8.9903,-39.9094,82.15,54,16,19.37
186,Torbay,CA,2021-04-04 23:51:30,47.6666,-52.7314,39.0,100,90,13.8
187,Kangaatsiaq,GL,2021-04-04 23:52:44,68.3065,-53.4641,18.86,75,100,8.12
188,Codrington,AU,2021-04-04 23:52:44,-38.2667,141.9667,62.71,55,69,9.82
189,Nelson Bay,AU,2021-04-04 23:52:44,-32.7167,152.15,73.99,83,34,2.68
190,Shirokaya Rechka,RU,2021-04-04 23:52:45,56.7986,60.4852,33.8,100,75,4.47
191,Midleton,IE,2021-04-04 23:52:45,51.9153,-8.1805,46.99,81,75,24.16
192,Fomboni,KM,2021-04-04 23:52:46,-12.28,43.7425,82.63,76,40,10.8
193,Tilichiki,RU,2021-04-04 23:52:46,60.4667,166.1,17.56,85,100,14.92
194,Huarmey,PE,2021-04-04 23:52:46,-10.0681,-78.1522,72.54,78,28,7.11
195,Longyearbyen,SJ,2021-04-04 23:52:47,78.2186,15.6401,23.0,68,75,31.07
196,Saint George,US,2021-04-04 23:52:18,37.1041,-113.5841,87.01,7,1,9.22
