City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
194,Cururupu,BR,2021-04-10 01:26:54,-1.8283,-44.8683,76.42,90,55,3.87,broken clouds
195,Bac Lieu,VN,2021-04-10 01:29:49,9.285,105.7244,83.82,68,47,13.67,scattered clouds
196,Saldanha,ZA,2021-04-10 01:29:49,-33.0117,17.9442,59.0,94,100,5.75,overcast clouds
197,Celestun,MX,2021-04-10 01:29:49,20.8667,-90.4,79.14,82,0,15.28,clear sky
198,Pangnirtung,CA,2021-04-10 01:29:49,66.1451,-65.7125,5.81,95,95,5.79,overcast clouds
199,Victoria,HK,2021-04-10 01:29:50,22.2855,114.1577,71.01,61,52,3.0,broken clouds
200,Maua,BR,2021-04-10 01:29:50,-23.6678,-46.4614,71.01,91,0,1.01,clear sky
201,Yulara,AU,2021-04-10 01:29:50,-25.2406,130.9889,77.0,41,100,16.11,overcast clouds
202,Saint-Augustin,CA,2021-04-10 01:26:54,51.226,-58.6502,30.7,75,41,13.53,scattered clouds
203,Waitati,NZ,2021-04-10 01:29:51,-45.75,170.5667,54.0,93,100,11.99,overcast clouds
204,Darhan,MN,2021-04-10 01:29:51,49.4867,105.9228,36.21,53,100,12.71,overcast clouds
205,Iqaluit,CA,2021-04-10 01:29:51,63.7506,-68.5145,5.0,78,75,12.66,broken clouds
206,Nantucket,US,2021-04-10 01:29:52,41.2835,-70.0995,42.8,93,90,10.36,fog
207,Sorland,NO,2021-04-10 01:29:52,67.667,12.6934,34.92,48,100,17.58,overcast clouds
208,Acajutla,SV,2021-04-10 01:25:29,13.5928,-89.8275,73.99,94,100,5.01,overcast clouds
209,Ginir,ET,2021-04-10 01:29:52,7.1333,40.7,58.19,57,81,5.57,broken clouds
210,Pitimbu,BR,2021-04-10 01:29:53,-7.4706,-34.8086,73.4,100,40,6.91,scattered clouds
211,Chapleau,CA,2021-04-10 01:29:53,47.8405,-83.4034,51.8,76,90,8.05,overcast clouds
212,Ushtobe,KZ,2021-04-10 01:29:53,45.2514,77.9838,50.5,56,86,6.42,overcast clouds
213,Lerwick,GB,2021-04-10 01:29:54,60.1545,-1.1494,33.8,80,40,12.66,scattered clouds
214,Vestmannaeyjar,IS,2021-04-10 01:29:54,63.4427,-20.2734,28.36,52,0,10.92,clear sky
215,Rentina,GR,2021-04-10 01:29:54,40.6574,23.614,39.99,61,0,3.0,clear sky
216,Newport,GB,2021-04-10 01:29:54,51.5877,-2.9984,43.0,76,87,9.89,overcast clouds
217,Sisimiut,GL,2021-04-10 01:29:55,66.9395,-53.6735,24.58,91,96,8.97,overcast clouds
218,Husavik,IS,2021-04-10 01:27:12,66.0449,-17.3389,15.8,73,0,3.44,clear sky
219,Port Hawkesbury,CA,2021-04-10 01:29:55,45.6169,-61.3485,39.99,93,1,9.22,clear sky
220,Mehamn,NO,2021-04-10 01:29:55,71.0357,27.8492,21.85,65,91,10.25,overcast clouds
221,Eydhafushi,MV,2021-04-10 01:29:56,5.1033,73.0708,81.82,74,3,5.79,clear sky
222,Sterling,US,2021-04-10 01:26:57,39.0062,-77.4286,59.0,94,90,5.75,overcast clouds
223,San Luis,AR,2021-04-10 01:29:56,-33.295,-66.3356,57.94,89,100,11.77,overcast clouds
224,Mount Gambier,AU,2021-04-10 01:29:56,-37.8333,140.7667,60.8,59,75,21.85,broken clouds
225,Norman Wells,CA,2021-04-10 01:29:57,65.282,-126.8329,-2.2,60,75,20.71,snow
226,Saint-Philippe,RE,2021-04-10 01:29:57,-21.3585,55.7679,77.0,69,100,5.75,light rain
227,Athmallik,IN,2021-04-10 01:29:57,20.7219,84.5348,79.03,60,77,2.68,broken clouds
228,Rundu,NA,2021-04-10 01:29:58,-17.9333,19.7667,60.15,45,0,6.08,clear sky
229,Severnoye,RU,2021-04-10 01:29:58,56.3491,78.3619,32.92,81,100,7.9,overcast clouds
230,Champerico,GT,2021-04-10 01:29:58,14.3,-91.9167,84.2,79,40,6.91,scattered clouds
231,Petropavlivka,UA,2021-04-10 01:29:59,48.4564,36.4367,38.05,62,14,7.61,few clouds
232,Ternate,ID,2021-04-10 01:29:59,0.8,127.4,83.52,69,100,0.89,overcast clouds
233,Sola,VU,2021-04-10 01:29:59,-13.8833,167.55,89.6,74,75,4.61,broken clouds
234,Victor Harbor,AU,2021-04-10 01:30:00,-35.5667,138.6167,63.0,66,92,4.0,overcast clouds
